LUMINOSIDADE %;TEMP AR Celsius;GASES %;UMIDADE %;LATITUDE;LONGITUDE;TEMP AGUA Celsius;OXI AGUA mg/L;SOM
90.71;35.59;8.22;51.00;-12.8713598;-38.5786476;26.59;6.49;854
89.35;35.25;8.22;51.00;-12.8711290;-38.5789947;26.52;6.46;827
92.28;34.92;8.22;51.00;-12.8708982;-38.5793685;26.61;6.49;848
92.28;34.96;8.22;51.00;-12.8707094;-38.5797615;26.55;6.48;859
91.20;35.02;8.22;52.00;-12.8705492;-38.5801010;26.60;6.49;851
91.30;34.85;8.22;52.00;-12.8703889;-38.5804100;26.51;6.47;868
89.05;34.71;8.22;52.00;-12.8702001;-38.5807800;26.62;6.46;869
92.47;34.44;8.12;52.00;-12.8700199;-38.5811386;26.57;6.43;846
92.38;34.61;8.22;54.00;-12.8698301;-38.5815010;26.63;6.43;859
89.93;34.33;8.22;54.00;-12.8696489;-38.5818595;26.57;6.40;849
86.02;34.16;8.22;54.00;-12.8694791;-38.5822143;26.65;6.38;856
88.27;34.15;8.22;54.00;-12.8693103;-38.5825500;26.59;6.36;853
91.69;34.06;8.22;55.00;-12.8691282;-38.5829162;26.65;6.36;853
90.91;33.98;8.22;55.00;-12.8690004;-38.5832443;26.59;6.32;840
90.13;34.06;8.22;55.00;-12.8688993;-38.5835189;26.67;6.41;863
